677;21;808.59;10.00;1618.58;0.00;1.00
904;21;2993.57;10.00;1648.82;0.00;1.00
1459;21;3536.20;10.00;1652.22;0.00;1.00
1530;21;3175.50;10.00;1672.16;0.00;1.00
1562;21;888.09;10.00;1513.31;0.00;1.00
1599;21;3185.05;10.00;1662.29;0.00;1.00
1766;21;3628.89;10.00;1619.66;0.00;1.00
3151;21;2980.12;10.00;2043.28;0.00;1.00
3588;21;816.92;10.00;1662.04;0.00;1.00
3658;21;3157.55;10.00;162.77;0.00;1.00
3668;21;3228.48;10.00;1686.75;0.00;1.00
3677;21;821.30;10.00;1598.18;0.00;1.00
3686;21;3026.54;10.00;1718.57;0.00;1.00
3734;21;3106.75;10.00;1727.53;0.00;1.00
4112;21;2934.64;10.00;1601.54;0.00;1.00
4473;21;3243.44;10.00;1608.07;0.00;1.00
4512;21;3121.86;10.00;1592.80;0.00;1.00
6287;21;2729.66;10.00;1945.68;0.00;1.00
6671;21;3172.25;10.00;1667.23;0.00;1.00
6681;21;811.78;10.00;1618.40;0.00;1.00
6704;21;3038.59;10.00;1719.01;0.00;1.00
6935;21;3164.19;10.00;1605.94;0.00;1.00
7211;21;2859.94;10.00;1598.61;0.00;1.00
7661;21;3258.17;9.50;1639.13;0.00;1.00
9279;21;2735.64;10.00;1942.84;0.00;1.00
9649;21;3170.82;10.00;1696.51;0.00;1.00
9674;21;3147.73;10.00;1710.84;0.00;1.00
9713;21;826.35;10.00;1620.43;0.00;1.00
9777;21;3074.44;10.00;1624.90;0.00;1.00
9791;21;2896.37;10.00;1649.38;0.00;1.00
9893;21;3080.82;10.00;1575.68;0.00;1.00
9932;21;3112.47;10.00;1650.41;0.00;1.00
9941;21;2940.83;10.00;1576.09;0.00;1.00
9966;21;843.32;10.00;1553.84;0.00;1.00
11599;21;3134.23;10.00;1687.22;0.00;1.00
11633;21;3160.87;10.00;1706.81;0.00;1.00
11668;21;3086.26;10.00;1721.07;0.00;1.00
11674;21;3209.67;10.00;1644.08;0.00;1.00
11741;21;2810.91;10.00;1704.41;0.00;1.00
11746;21;3051.31;10.00;1574.99;0.00;1.00
11811;21;2973.72;10.00;1645.58;0.00;1.00
11818;21;2875.36;10.00;1643.70;0.00;1.00
11842;21;2928.31;10.00;1664.77;0.00;1.00
11853;21;3135.87;10.00;1628.51;0.00;1.00
11881;21;3065.23;10.00;1655.27;0.00;1.00
11899;21;2808.80;10.00;1703.41;0.00;1.00
12320;21;3182.05;10.00;1633.69;0.00;1.00
12441;21;3173.31;10.00;1646.24;0.00;1.00
13294;21;2927.88;10.00;1638.45;0.00;1.00
13317;21;3141.78;10.00;1661.31;0.00;1.00
13471;21;2545.11;10.00;1861.66;0.00;1.00
13724;21;2885.51;10.00;1593.72;0.00;1.00
15453;21;852.34;10.00;1585.27;0.00;1.00
17405;21;3185.59;10.00;1687.76;0.00;1.00
17411;21;3215.11;10.00;1704.88;0.00;1.00
